month;day;hour;Hothouse;Coldhouse
1;1;:0010;0.105685892;0
1;1;:0110;0.105685892;0
1;1;:0210;0.105685892;0
1;1;:0310;0.105685892;0
1;1;:0410;0.105685892;0
1;1;:0510;0.112731404;0
1;1;:0610;0.105685892;0
1;1;:0710;0.119777146;0
1;1;:0810;0.160766801;0
1;1;:0910;0.150677466;0
1;1;:1010;0.135464539;0
1;1;:1110;0.129478843;0
1;1;:1210;0.129478843;0
1;1;:1310;0.135464539;0
1;1;:1410;0.135464539;0
1;1;:1510;0.151344376;0
1;1;:1610;0.098639692;0
1;1;:1710;0.091594638;0
1;1;:1810;0.091594638;0
1;1;:1910;0.098639692;0
1;1;:2010;0.091594638;0
1;1;:2110;0.098639692;0
1;1;:2210;0.098639692;0
1;1;:2310;0.105685892;0
1;2;:0010;0.105685892;0
1;2;:0110;0.105685892;0
1;2;:0210;0.105685892;0
1;2;:0310;0.105685892;0
1;2;:0410;0.105685892;0
1;2;:0510;0.112731404;0
1;2;:0610;0.105685892;0
1;2;:0710;0.119777146;0
1;2;:0810;0.165868515;0
1;2;:0910;0.150677466;0
1;2;:1010;0.135464539;0
1;2;:1110;0.119058917;0
1;2;:1210;0.087797764;0
1;2;:1310;0.056536611;0
1;2;:1410;0.104203386;0
1;2;:1510;0.135464539;0
1;2;:1610;0.098639692;0
1;2;:1710;0.098639692;0
1;2;:1810;0.105685892;0
1;2;:1910;0.112731404;0
1;2;:2010;0.105685892;0
1;2;:2110;0.112731404;0
1;2;:2210;0.105685892;0
1;2;:2310;0.105685892;0
1;3;:0010;0.098639692;0
1;3;:0110;0.098639692;0
1;3;:0210;0.098639692;0
1;3;:0310;0.098639692;0
1;3;:0410;0.105685892;0
1;3;:0510;0.105685892;0
1;3;:0610;0.098639692;0
1;3;:0710;0.112731404;0
1;3;:0810;0.151344376;0
1;3;:0910;0.145884465;0
1;3;:1010;0.119058917;0
1;3;:1110;0.087797764;0
1;3;:1210;0.083362846;0
1;3;:1310;0.093782772;0
1;3;:1410;0.125043926;0
1;3;:1510;0.141254469;0
1;3;:1610;0.084548439;0
1;3;:1710;0.084548439;0
1;3;:1810;0.084548439;0
1;3;:1910;0.091594638;0
1;3;:2010;0.084548439;0
1;3;:2110;0.084548439;0
1;3;:2210;0.077502926;0
1;3;:2310;0.084548439;0
1;4;:0010;0.091594638;0
1;4;:0110;0.091594638;0
1;4;:0210;0.091594638;0
1;4;:0310;0.098639692;0
1;4;:0410;0.098639692;0
1;4;:0510;0.091594638;0
1;4;:0610;0.084548439;0
1;4;:0710;0.105685892;0
1;4;:0810;0.151344376;0
1;4;:0910;0.135464539;0
1;4;:1010;0.119058917;0
1;4;:1110;0.104203386;0
1;4;:1210;0.108638304;0
1;4;:1310;0.125043926;0
1;4;:1410;0.130498338;0
1;4;:1510;0.098639692;0
1;4;:1610;0.077502926;0
1;4;:1710;0.077502926;0
1;4;:1810;0.077502926;0
1;4;:1910;0.091594638;0
1;4;:2010;0.091594638;0
1;4;:2110;0.098639692;0
1;4;:2210;0.091594638;0
1;4;:2310;0.091594638;0
1;5;:0010;0.091594638;0
1;5;:0110;0.091594638;0
1;5;:0210;0.091594638;0
1;5;:0310;0.091594638;0
1;5;:0410;0.084548439;0
1;5;:0510;0.084548439;0
1;5;:0610;0.077502926;0
1;5;:0710;0.091594638;0
1;5;:0810;0.121075341;0
1;5;:0910;0.114623999;0
1;5;:1010;0.108638304;0
1;5;:1110;0.104203386;0
1;5;:1210;0.114623999;0
1;5;:1310;0.125043926;0
1;5;:1410;0.130498338;0
1;5;:1510;0.091594638;0
1;5;:1610;0.077502926;0
1;5;:1710;0.070457185;0
1;5;:1810;0.070457185;0
1;5;:1910;0.077502926;0
1;5;:2010;0.070457185;0
1;5;:2110;0.077502926;0
1;5;:2210;0.070457185;0
1;5;:2310;0.077502926;0
1;6;:0010;0.084548439;0
1;6;:0110;0.077502926;0
1;6;:0210;0.077502926;0
1;6;:0310;0.077502926;0
1;6;:0410;0.077502926;0
1;6;:0510;0.077502926;0
1;6;:0610;0.070457185;0
1;6;:0710;0.084548439;0
1;6;:0810;0.115421038;0
1;6;:0910;0.105331131;0
1;6;:1010;0.104203386;0
1;6;:1110;0.09821769;0
1;6;:1210;0.093782772;0
1;6;:1310;0.114623999;0
1;6;:1410;0.120408545;0
1;6;:1510;0.091594638;0
1;6;:1610;0.077502926;0
1;6;:1710;0.070457185;0
1;6;:1810;0.070457185;0
1;6;:1910;0.077502926;0
1;6;:2010;0.077502926;0
1;6;:2110;0.084548439;0
1;6;:2210;0.077502926;0
1;6;:2310;0.091594638;0
1;7;:0010;0.087593178;0
1;7;:0110;0.087593178;0
1;7;:0210;0.087593178;0
1;7;:0310;0.087593178;0
1;7;:0410;0.087593178;0
1;7;:0510;0.087593178;0
1;7;:0610;0.080547665;0
1;7;:0710;0.098639692;0
1;7;:0810;0.135600166;0
1;7;:0910;0.115421038;0
1;7;:1010;0.114623999;0
1;7;:1110;0.108638304;0
1;7;:1210;0.093782772;0
1;7;:1310;0.114623999;0
1;7;:1410;0.120408545;0
1;7;:1510;0.098639692;0
1;7;:1610;0.080547665;0
1;7;:1710;0.073501466;0
1;7;:1810;0.073501466;0
1;7;:1910;0.073501466;0
1;7;:2010;0.066456412;0
1;7;:2110;0.073501466;0
1;7;:2210;0.066456412;0
1;7;:2310;0.073501466;0
1;8;:0010;0.084548439;0
1;8;:0110;0.077502926;0
1;8;:0210;0.077502926;0
1;8;:0310;0.070457185;0
1;8;:0410;0.070457185;0
1;8;:0510;0.077502926;0
1;8;:0610;0.070457185;0
