month;day;hour;P [W]
1;1;:0010;0
1;1;:0110;0
1;1;:0210;0
1;1;:0310;0
1;1;:0410;0
1;1;:0510;0
1;1;:0610;0
1;1;:0710;12.97272727
1;1;:0810;94.88909091
1;1;:0910;112.7172727
1;1;:1010;129.8836364
1;1;:1110;209.5627273
1;1;:1210;175.5845455
1;1;:1310;136.4890909
1;1;:1410;53.67
1;1;:1510;0
1;1;:1610;0
1;1;:1710;0
1;1;:1810;0
1;1;:1910;0
1;1;:2010;0
1;1;:2110;0
1;1;:2210;0
1;1;:2310;0
1;2;:0010;0
1;2;:0110;0
1;2;:0210;0
1;2;:0310;0
1;2;:0410;0
1;2;:0510;0
1;2;:0610;0
1;2;:0710;6.133636364
1;2;:0810;73.42454545
1;2;:0910;151.3454545
1;2;:1010;159.7518182
1;2;:1110;259.6072727
1;2;:1210;189.4581818
1;2;:1310;132.2709091
1;2;:1410;43.44363636
1;2;:1510;0
1;2;:1610;0
1;2;:1710;0
1;2;:1810;0
1;2;:1910;0
1;2;:2010;0
1;2;:2110;0
1;2;:2210;0
1;2;:2310;0
1;3;:0010;0
1;3;:0110;0
1;3;:0210;0
1;3;:0310;0
1;3;:0410;0
1;3;:0510;0
1;3;:0610;0
1;3;:0710;22.14090909
1;3;:0810;192.3236364
1;3;:0910;242.4181818
1;3;:1010;309.3081818
1;3;:1110;308.9427273
1;3;:1210;236.6381818
1;3;:1310;184.8881818
1;3;:1410;42.21454545
1;3;:1510;0
1;3;:1610;0
1;3;:1710;0
1;3;:1810;0
1;3;:1910;0
1;3;:2010;0
1;3;:2110;0
1;3;:2210;0
1;3;:2310;0
1;4;:0010;0
1;4;:0110;0
1;4;:0210;0
1;4;:0310;0
1;4;:0410;0
1;4;:0510;0
1;4;:0610;0
1;4;:0710;8.240909091
1;4;:0810;109.3609091
1;4;:0910;164.34
1;4;:1010;146.1109091
1;4;:1110;198.1981818
1;4;:1210;164.0890909
1;4;:1310;130.3163636
1;4;:1410;74.83818182
1;4;:1510;0
1;4;:1610;0
1;4;:1710;0
1;4;:1810;0
1;4;:1910;0
1;4;:2010;0
1;4;:2110;0
1;4;:2210;0
1;4;:2310;0
1;5;:0010;0
1;5;:0110;0
1;5;:0210;0
1;5;:0310;0
1;5;:0410;0
1;5;:0510;0
1;5;:0610;0
1;5;:0710;10.75181818
1;5;:0810;77.14454545
1;5;:0910;91.89
1;5;:1010;124.6745455
1;5;:1110;110.2118182
1;5;:1210;104.0463636
1;5;:1310;72.56454545
1;5;:1410;39.73272727
1;5;:1510;0
1;5;:1610;0
1;5;:1710;0
1;5;:1810;0
1;5;:1910;0
1;5;:2010;0
1;5;:2110;0
1;5;:2210;0
1;5;:2310;0
1;6;:0010;0
1;6;:0110;0
1;6;:0210;0
1;6;:0310;0
1;6;:0410;0
1;6;:0510;0
1;6;:0610;0
1;6;:0710;10.01909091
1;6;:0810;104.1054545
1;6;:0910;175.9390909
1;6;:1010;211.5172727
1;6;:1110;210.1481818
1;6;:1210;195.0563636
1;6;:1310;158.3709091
1;6;:1410;88.98727273
1;6;:1510;0
1;6;:1610;0
1;6;:1710;0
1;6;:1810;0
1;6;:1910;0
1;6;:2010;0
1;6;:2110;0
1;6;:2210;0
1;6;:2310;0
1;7;:0010;0
1;7;:0110;0
1;7;:0210;0
1;7;:0310;0
1;7;:0410;0
1;7;:0510;0
1;7;:0610;0
1;7;:0710;18.18909091
1;7;:0810;93.33545455
1;7;:0910;139.2745455
1;7;:1010;75.53818182
1;7;:1110;127.7381818
1;7;:1210;76.9
1;7;:1310;86.79636364
1;7;:1410;73.13818182
1;7;:1510;0
1;7;:1610;0
1;7;:1710;0
1;7;:1810;0
1;7;:1910;0
1;7;:2010;0
1;7;:2110;0
1;7;:2210;0
1;7;:2310;0
1;8;:0010;0
1;8;:0110;0
1;8;:0210;0
1;8;:0310;0
1;8;:0410;0
1;8;:0510;0
1;8;:0610;0
1;8;:0710;6.441818182
1;8;:0810;114.0990909
1;8;:0910;116.8063636
1;8;:1010;155.2681818
1;8;:1110;189.8936364
1;8;:1210;225.2590909
1;8;:1310;175.1090909
1;8;:1410;144.0536364
1;8;:1510;0
1;8;:1610;0
1;8;:1710;0
1;8;:1810;0
1;8;:1910;0
1;8;:2010;0
1;8;:2110;0
1;8;:2210;0
1;8;:2310;0
1;9;:0010;0
1;9;:0110;0
1;9;:0210;0
1;9;:0310;0
1;9;:0410;0
1;9;:0510;0
1;9;:0610;0
1;9;:0710;8.977272727
1;9;:0810;116.8090909
1;9;:0910;123.4627273
1;9;:1010;154.15
1;9;:1110;155.4263636
1;9;:1210;126.4872727
1;9;:1310;109.0727273
1;9;:1410;60.88363636
1;9;:1510;0
1;9;:1610;0
1;9;:1710;0
1;9;:1810;0
1;9;:1910;0
1;9;:2010;0
1;9;:2110;0
1;9;:2210;0
1;9;:2310;0
1;10;:0010;0
1;10;:0110;0
1;10;:0210;0
1;10;:0310;0
1;10;:0410;0
1;10;:0510;0
1;10;:0610;0
1;10;:0710;19.11272727
1;10;:0810;186.58
1;10;:0910;234.4654545
1;10;:1010;262.8836364
1;10;:1110;298.8109091
1;10;:1210;315.8309091
1;10;:1310;186.7445455
1;10;:1410;124.9163636
1;10;:1510;0
1;10;:1610;0
1;10;:1710;0
1;10;:1810;0
1;10;:1910;0
1;10;:2010;0
1;10;:2110;0
1;10;:2210;0
1;10;:2310;0
1;11;:0010;0
1;11;:0110;0
1;11;:0210;0
1;11;:0310;0
1;11;:0410;0
1;11;:0510;0
1;11;:0610;0
1;11;:0710;21.07818182
1;11;:0810;93.15818182
1;11;:0910;124.0363636
1;11;:1010;141.8036364
1;11;:1110;224.9054545
1;11;:1210;126.8
1;11;:1310;154.7027273
1;11;:1410;85.30727273
1;11;:1510;0
1;11;:1610;0
1;11;:1710;0
1;11;:1810;0
1;11;:1910;0
1;11;:2010;0
1;11;:2110;0
